
SENSOR_ID,DATE / TIME,C02 EMISSION (ppm),CHANGE IN %,ACTIONS_TAKEN

lw-ms-air-qual-02,2024-03-27T00:03:57.109916Z,424,0.00%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:06:15.197023Z,414,-2.36%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T00:13:57.115982Z,421,1.69%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:16:15.191863Z,413,-1.90%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T00:23:57.119949Z,422,2.18%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:26:15.193295Z,415,-1.66%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T00:33:57.125028Z,421,1.45%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:36:15.190893Z,411,-2.38%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T00:43:57.128055Z,417,1.46%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:46:15.182563Z,413,-0.96%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T00:53:57.133036Z,419,1.45%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T00:56:15.178042Z,408,-2.63%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:03:57.142102Z,419,2.70%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:06:15.169785Z,404,-3.58%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:13:57.148128Z,415,2.72%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:16:15.160304Z,407,-1.93%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:23:57.143199Z,416,2.21%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:25:57.167Z,408,-1.92%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:33:57.152590Z,412,0.98%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:36:15.164699Z,408,-0.97%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:43:57.160167Z,415,1.72%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:46:15.149125Z,405,-2.41%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T01:53:57.166157Z,414,2.22%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T01:56:15.148772Z,403,-2.66%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:03:57.165162Z,415,2.98%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:06:15.141480Z,402,-3.13%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:13:57.172188Z,414,2.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:16:15.136039Z,401,-3.14%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:23:57.177201Z,413,2.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:26:15.130585Z,402,-2.66%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:33:57.184165Z,411,2.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:36:15.126208Z,402,-2.19%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:43:57.182227Z,415,3.23%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:46:15.119804Z,402,-3.13%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T02:53:57.191232Z,411,2.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T02:55:57.119Z,400,-2.68%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:03:57.199253Z,408,2.00%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T03:06:15.108016Z,400,-1.96%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:13:57.203190Z,404,1.00%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T03:15:57.115Z,402,-0.50%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:23:57.209221Z,411,2.24%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:33:57.207209Z,412,0.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T03:36:15.099838Z,404,-1.94%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:43:57.214205Z,414,2.48%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T03:45:57.092Z,404,-2.42%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T03:53:57.218151Z,408,0.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T03:55:57.086Z,404,-0.98%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:03:57.220158Z,405,0.25%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:06:15.081648Z,400,-1.23%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:13:57.226283Z,402,0.50%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:16:15.081274Z,407,1.24%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:23:39.232Z,403,-0.98%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:26:15.080831Z,408,1.24%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:33:57.236184Z,405,-0.74%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:35:57.076Z,409,0.99%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:43:57.248169Z,403,-1.47%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:46:15.063144Z,403,0.00%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T04:53:57.250198Z,403,0.00%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T04:56:15.060601Z,401,-0.50%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:03:57.255071Z,404,0.75%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:06:15.054367Z,400,-0.99%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:13:57.261037Z,401,0.25%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:16:15.048894Z,407,1.50%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:23:57.266019Z,401,-1.47%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:26:15.042443Z,404,0.75%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:33:57.268001Z,400,-0.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:36:15.045040Z,407,1.75%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:43:57.266960Z,400,-1.72%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:46:15.035689Z,414,3.50%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T05:53:57.273931Z,408,-1.45%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T05:56:15.037497Z,410,0.49%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:03:57.280903Z,411,0.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:05:57.030Z,409,-0.49%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:13:57.284880Z,410,0.24%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:16:15.022461Z,404,-1.46%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:23:57.287885Z,411,1.73%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:25:57.018Z,405,-1.46%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:33:57.292803Z,415,2.47%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:36:15.011617Z,406,-2.17%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:43:57.294765Z,412,1.48%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:46:15.014266Z,404,-1.94%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T06:53:57.304690Z,408,0.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T06:55:56.998Z,407,-0.25%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:03:57.312681Z,412,1.23%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T07:06:14.998385Z,406,-1.46%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:13:57.317648Z,410,0.99%,No Action. Normal Health
lw-ms-air-qual-01,2024-03-27T07:15:56.992Z,406,-0.98%,No Action. Normal Health
lw-ms-air-qual-02,2024-03-27T07:23:57.320608Z,411,1.23%,No Action. Normal Health
