sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-03,2025-04-25T00:08:40.589611Z,71,406,55.5,17.8
lw-ms-ambi-01,2025-04-25T00:14:40.906955Z,67,334,56.5,17.3
lw-ms-ambi-03,2025-04-25T00:18:44.607518Z,71,396,55.5,17.8
lw-ms-ambi-02,2025-04-25T00:18:45.788852Z,65,638,48.5,20.4
lw-ms-ambi-01,2025-04-25T00:24:43.379565Z,67,325,56.5,17.2
lw-ms-ambi-03,2025-04-25T00:28:42.269042Z,71,401,56,17.8
lw-ms-ambi-02,2025-04-25T00:28:45.207825Z,65,632,48.5,20.4
lw-ms-ambi-01,2025-04-25T00:34:39.657831Z,67,331,56.5,17.2
lw-ms-ambi-03,2025-04-25T00:38:42.000004Z,71,408,56,17.8
lw-ms-ambi-02,2025-04-25T00:38:50.783540Z,65,637,48.5,20.4
lw-ms-ambi-01,2025-04-25T00:44:42.175859Z,67,325,56.5,17.2
lw-ms-ambi-03,2025-04-25T00:48:44.103818Z,71,400,56,17.7
lw-ms-ambi-02,2025-04-25T00:48:45.811759Z,65,641,48.5,20.4
lw-ms-ambi-01,2025-04-25T00:54:40.932589Z,67,338,56.5,17.2
lw-ms-ambi-03,2025-04-25T00:58:41.055973Z,71,406,56,17.7
lw-ms-ambi-02,2025-04-25T00:58:53.125699Z,65,645,48.5,20.3
lw-ms-ambi-01,2025-04-25T01:04:42.775368Z,67,332,56.5,17.2
lw-ms-ambi-03,2025-04-25T01:08:42.227229Z,71,405,56,17.7
lw-ms-ambi-02,2025-04-25T01:08:53.992760Z,65,641,48.5,20.3
lw-ms-ambi-01,2025-04-25T01:14:43.945221Z,67,323,57,17.2
lw-ms-ambi-03,2025-04-25T01:18:43.307366Z,71,415,56.5,17.7
lw-ms-ambi-02,2025-04-25T01:18:51.804435Z,65,645,48.5,20.3
lw-ms-ambi-01,2025-04-25T01:24:40.319260Z,67,316,56.5,17.2
lw-ms-ambi-03,2025-04-25T01:28:42.898131Z,71,401,56,17.7
lw-ms-ambi-02,2025-04-25T01:28:47.275967Z,65,635,48.5,20.3
lw-ms-ambi-01,2025-04-25T01:34:42.070701Z,67,327,57,17.1
lw-ms-ambi-03,2025-04-25T01:38:42.126793Z,71,405,56,17.7
lw-ms-ambi-01,2025-04-25T01:44:43.396387Z,67,335,57,17.1
lw-ms-ambi-02,2025-04-25T01:48:44.575715Z,65,645,48.5,20.3
lw-ms-ambi-03,2025-04-25T01:48:44.799731Z,71,403,56.5,17.7
lw-ms-ambi-01,2025-04-25T01:54:39.868277Z,67,326,57,17.1
lw-ms-ambi-03,2025-04-25T01:58:43.597062Z,71,404,56,17.7
lw-ms-ambi-02,2025-04-25T01:58:45.669900Z,65,653,48.5,20.3
lw-ms-ambi-01,2025-04-25T02:04:43.524754Z,67,328,57,17.1
lw-ms-ambi-03,2025-04-25T02:08:41.344362Z,71,401,56,17.6
lw-ms-ambi-02,2025-04-25T02:08:44.747923Z,65,632,48.5,20.3
lw-ms-ambi-01,2025-04-25T02:14:43.733166Z,67,329,57,17.1
lw-ms-ambi-03,2025-04-25T02:18:44.174274Z,71,403,56,17.6
lw-ms-ambi-02,2025-04-25T02:18:46.298525Z,65,642,48.5,20.2
lw-ms-ambi-01,2025-04-25T02:24:39.202732Z,67,320,57,17.1
lw-ms-ambi-03,2025-04-25T02:28:41.741910Z,71,415,56,17.6
lw-ms-ambi-02,2025-04-25T02:28:50.878978Z,65,644,48.5,20.2
lw-ms-ambi-01,2025-04-25T02:34:42.552407Z,67,326,57,17.1
lw-ms-ambi-03,2025-04-25T02:38:41.642286Z,71,389,56,17.6
lw-ms-ambi-02,2025-04-25T02:38:44.541035Z,65,641,48.5,20.2
lw-ms-ambi-01,2025-04-25T02:44:41.778493Z,67,339,57,17.1
lw-ms-ambi-03,2025-04-25T02:48:40.129392Z,71,408,56.5,17.6
lw-ms-ambi-02,2025-04-25T02:48:47.342240Z,65,655,48.5,20.2
lw-ms-ambi-01,2025-04-25T02:54:39.600071Z,67,321,56.5,17.1
lw-ms-ambi-03,2025-04-25T02:58:40.813642Z,71,400,56,17.6
lw-ms-ambi-02,2025-04-25T02:58:47.589523Z,65,640,48.5,20.2
lw-ms-ambi-01,2025-04-25T03:04:42.965739Z,67,319,56.5,17.1
lw-ms-ambi-03,2025-04-25T03:08:41.677106Z,71,395,56,17.6
lw-ms-ambi-02,2025-04-25T03:08:49.233747Z,65,640,48.5,20.1
lw-ms-ambi-01,2025-04-25T03:14:39.874964Z,67,319,56,17
lw-ms-ambi-03,2025-04-25T03:18:42.890063Z,71,402,56,17.6
lw-ms-ambi-02,2025-04-25T03:18:47.451935Z,65,651,48.5,20.2
lw-ms-ambi-01,2025-04-25T03:24:40.317886Z,67,320,56.5,17
lw-ms-ambi-03,2025-04-25T03:28:42.982943Z,71,395,56,17.6
lw-ms-ambi-02,2025-04-25T03:28:45.122984Z,65,634,48.5,20.1
lw-ms-ambi-01,2025-04-25T03:34:40.355599Z,67,314,56.5,17
lw-ms-ambi-03,2025-04-25T03:38:43.933958Z,71,399,56,17.5
lw-ms-ambi-02,2025-04-25T03:38:48.018692Z,65,654,48.5,20.1
lw-ms-ambi-01,2025-04-25T03:44:42.236502Z,67,315,56.5,17
lw-ms-ambi-03,2025-04-25T03:48:41.459862Z,71,395,56,17.5
lw-ms-ambi-02,2025-04-25T03:48:44.368615Z,65,642,48.5,20.1
lw-ms-ambi-01,2025-04-25T03:54:43.644142Z,67,315,56.5,17
lw-ms-ambi-02,2025-04-25T03:58:43.707299Z,65,638,48.5,20.1
