
DATE / TIME,LOCATION,AMBIENT TEMPERATURE,TEMPERATURE RANGE

2024-08-13 12:33:19,Toilet,10.00,Low Temperature
2024-08-13 12:33:28,Kitchen,10.00,Low Temperature
2024-08-13 12:33:34,Staircase,10.00,Low Temperature
2024-08-13 12:33:41,Passage,10.00,Low Temperature
2024-08-13 12:33:47,Office,9.00,Low Temperature
2024-08-13 12:33:54,Bedroom,10.00,Low Temperature
2024-08-13 12:34:01,Passage,10.00,Low Temperature
2024-08-13 12:34:10,Office,10.00,Low Temperature
2024-08-13 12:34:18,Bedroom,9.00,Low Temperature
2024-08-13 12:34:28,Bathroom,10.00,Low Temperature
2024-08-13 12:34:36,Living Room,9.00,Low Temperature
2024-08-13 12:34:43,Living Room,9.00,Low Temperature
2024-08-13 12:34:54,Staircase,11.00,Low Temperature
2024-08-13 12:35:00,Bedroom,10.00,Low Temperature
2024-08-13 12:35:05,Bathroom,11.00,Low Temperature
2024-08-13 12:35:16,Staircase,10.00,Low Temperature
2024-08-13 12:35:24,Bathroom,10.00,Low Temperature
2024-08-13 12:35:33,Bedroom,10.00,Low Temperature
2024-08-13 12:35:40,Bedroom,11.00,Low Temperature
2024-08-13 12:35:47,Bedroom,10.00,Low Temperature
2024-08-13 12:35:56,Living Room,11.00,Low Temperature
2024-08-13 12:36:03,Toilet,11.00,Low Temperature
2024-08-13 12:36:10,Passage,10.00,Low Temperature
2024-08-13 12:36:15,Bedroom,11.00,Low Temperature
2024-08-13 12:36:26,Office,9.00,Low Temperature
2024-08-13 12:36:32,Bedroom,10.00,Low Temperature
2024-08-13 12:36:40,Living Room,11.00,Low Temperature
2024-08-13 12:36:47,Toilet,11.00,Low Temperature
2024-08-13 12:36:57,Toilet,10.00,Low Temperature
2024-08-13 12:37:03,Kitchen,18.00,Temperature within specified range
2024-08-13 12:37:05,Living Room,12.00,Low Temperature
2024-08-13 12:37:13,Toilet,12.00,Low Temperature
2024-08-13 12:37:19,Bedroom,14.00,Low Temperature
2024-08-13 12:37:28,Staircase,15.00,Low Temperature
2024-08-13 12:37:37,Office,13.00,Low Temperature
2024-08-13 12:37:43,Passage,14.00,Low Temperature
2024-08-13 12:37:53,Passage,15.00,Low Temperature
2024-08-13 12:37:58,Bathroom,14.00,Low Temperature
2024-08-13 12:38:07,Passage,15.00,Low Temperature
2024-08-13 12:38:15,Bathroom,14.00,Low Temperature
2024-08-13 12:38:25,Passage,12.00,Low Temperature
2024-08-13 12:38:32,Bathroom,14.00,Low Temperature
2024-08-13 12:38:40,Living Room,12.00,Low Temperature
2024-08-13 12:38:51,Staircase,14.00,Low Temperature
2024-08-13 12:38:59,Bathroom,14.00,Low Temperature
2024-08-13 12:39:09,Living Room,14.00,Low Temperature
2024-08-13 12:39:19,Passage,14.00,Low Temperature
2024-08-13 12:39:28,Staircase,15.00,Low Temperature
2024-08-13 12:39:39,Passage,13.00,Low Temperature
2024-08-13 12:39:44,Office,12.00,Low Temperature
2024-08-13 12:39:54,Passage,13.00,Low Temperature
2024-08-13 12:40:05,Office,14.00,Low Temperature
2024-08-13 12:40:11,Staircase,13.00,Low Temperature
2024-08-13 12:40:18,Living Room,14.00,Low Temperature
2024-08-13 12:40:29,Passage,13.00,Low Temperature
2024-08-13 12:40:40,Office,12.00,Low Temperature
2024-08-13 12:40:49,Office,12.00,Low Temperature
2024-08-13 12:40:58,Living Room,15.00,Low Temperature
2024-08-13 12:41:09,Staircase,12.00,Low Temperature
2024-08-13 12:41:16,Office,14.00,Low Temperature
2024-08-13 12:41:21,Living Room,15.00,Low Temperature
2024-08-13 12:41:29,Toilet,14.00,Low Temperature
2024-08-13 12:41:37,Passage,15.00,Low Temperature
2024-08-13 12:41:42,Office,13.00,Low Temperature
2024-08-13 12:41:51,Toilet,13.00,Low Temperature
