time,temp_c,activity,action_taken
7:00,22,Asleep → Wakes up,"Opening doors, log to diary"
7:10,22.02,Wakes up,"Opening windows,log to diary"
7:20,22.03,Wakes up,"keep doors open, log to diary"
7:30,22.05,Leaving for breakfast,"Controlling the heating system (ON), log to diary"
7:40,22.07,Vacant / ventilating,"Controlling the heating system (off),log to diary"
7:50,22.08,Vacant,log to diary
8:00,22.1,Vacant,log to diary
8:10,22.14,Vacant,log to diary
8:20,22.18,Vacant,log to diary
8:30,22.22,Vacant,log to diary
8:40,22.25,Vacant,log to diary
8:50,22.29,Vacant,log to diary
9:00,22.33,Vacant,log to diary
9:10,22.39,Vacant,log to diary
9:20,22.45,Vacant,log to diary
9:30,22.52,Vacant,log to diary
9:40,22.58,Vacant,log to diary
9:50,22.64,Vacant,log to diary
10:00,22.7,Vacant,log to diary
10:10,22.73,Vacant,log to diary
10:20,22.77,Vacant,log to diary
10:30,22.8,Vacant,log to diary
10:40,22.83,Vacant,log to diary
10:50,22.87,Vacant,log to diary
11:00,22.9,Vacant,log to diary
11:10,22.96,Vacant,log to diary
11:20,23.02,Vacant,log to diary
11:30,23.08,Vacant,log to diary
11:40,23.13,Vacant,log to diary
11:50,23.19,Vacant,log to diary
12:00,23.25,Vacant,log to diary
12:10,23.34,Vacant,log to diary
12:20,23.43,Vacant,log to diary
12:30,23.53,Vacant,log to diary
12:40,23.62,Vacant,log to diary
12:50,23.71,Vacant,log to diary
13:00,23.8,Baseline before nap (daytime warmth),"Activating the cooling system (auto), log to diary"
13:10,23.67,Nap,"keep the cooling system (auto), log to diary"
13:20,23.53,Nap,"keep the cooling system (auto), log to diary"
13:30,23.4,Nap,"keep the cooling system (auto), log to diary"
13:40,23.27,Nap,"keep the cooling system (auto), log to diary"
13:50,23.13,Nap,"keep the cooling system (OFF), log to diary"
14:00,23,Post-nap (leaving room),"Opening doors, log to diary"
14:10,23.1,Vacant,"Opening windows,log to diary"
14:20,23.2,Vacant,log to diary
14:30,23.3,Vacant,log to diary
14:40,23.4,Vacant,log to diary
14:50,23.5,Vacant,log to diary
15:00,23.6,Vacant,log to diary
15:10,23.56,Vacant,log to diary
15:20,23.52,Vacant,log to diary
15:30,23.48,Vacant,log to diary
15:40,23.43,Vacant,log to diary
15:50,23.39,Vacant,log to diary
16:00,23.35,Vacant,log to diary
16:10,23.34,Vacant,log to diary
16:20,23.33,Vacant,log to diary
16:30,23.33,Vacant,log to diary
16:40,23.32,Vacant,log to diary
16:50,23.31,Vacant,log to diary
17:00,23.3,Vacant,log to diary
17:10,23.23,Vacant,log to diary
17:20,23.17,Vacant,log to diary
17:30,23.1,Vacant,log to diary
17:40,23.03,Vacant,log to diary
17:50,22.97,Vacant,log to diary
18:00,22.9,Vacant,log to diary
18:10,22.93,Vacant,log to diary
18:20,22.97,Vacant,log to diary
18:30,23,Vacant,log to diary
18:40,23.03,Vacant,log to diary
18:50,23.07,Vacant,log to diary
19:00,23.1,Vacant,log to diary
19:10,23.13,Vacant,log to diary
19:20,23.15,Vacant,log to diary
19:30,23.18,Vacant,log to diary
19:40,23.2,Vacant,log to diary
19:50,23.23,Vacant,log to diary
20:00,23.25,Vacant,log to diary
20:10,23.27,Vacant,log to diary
20:20,23.28,Vacant,log to diary
20:30,23.3,Vacant,log to diary
20:40,23.32,Vacant,log to diary
20:50,23.33,Vacant,log to diary
21:00,23.35,Getting ready for bed,"Opening windows,log to diary"
21:10,23.39,Getting ready for bed,"keep window open, log to diary"
21:20,23.43,Settling,"keep window open, log to diary"
21:30,23.48,Settling,"keep window open, log to diary"
21:40,23.52,Asleep,"Activating the cooling system (auto), log to diary"
21:50,23.56,Asleep,"Activating the cooling system (auto), log to diary"
22:00,23.6,Asleep,"Activating the cooling system (auto), log to diary"
22:10,23.58,Asleep,"Activating the cooling system (auto), log to diary"
22:20,23.57,Asleep,"Activating the cooling system (auto), log to diary"
22:30,23.55,Asleep,"Activating the cooling system (auto), log to diary"
22:40,23.53,Asleep,"Activating the cooling system (auto), log to diary"
22:50,23.52,Asleep,"Activating the cooling system (auto), log to diary"
23:00,23.5,Asleep,"Activating the cooling system (auto), log to diary"
