time,temp_c,activity,action_taken
7:00,22,Vacant,log to diary
7:10,22.17,Vacant,log to diary
7:20,22.33,Baseline pre-breakfast,"Opening windows, log to diary"
7:30,22.5,Breakfast,Opening doors
7:40,22.67,Breakfast,Opening windows
7:50,22.83,Breakfast,Opening windows
8:00,23,Leaving for lounge,Opening doors
8:10,22.92,Vacant,"Controlling the heating system (off), log to diary"
8:20,22.84,Vacant,log to diary
8:30,22.76,Vacant,log to diary
8:40,22.68,Vacant,log to diary
8:50,22.6,Vacant,log to diary
9:00,22.52,Vacant,log to diary
9:10,22.58,Vacant,log to diary
9:20,22.63,Vacant,log to diary
9:30,22.69,Vacant,log to diary
9:40,22.75,Vacant,log to diary
9:50,22.8,Vacant,log to diary
10:00,22.86,Vacant,log to diary
10:10,22.92,Vacant,log to diary
10:20,22.99,Vacant,log to diary
10:30,23.05,Vacant,log to diary
10:40,23.11,Vacant,log to diary
10:50,23.18,Vacant,log to diary
11:00,23.24,Vacant,log to diary
11:10,23.26,Vacant,log to diary
11:20,23.27,Vacant,log to diary
11:30,23.29,Vacant,log to diary
11:40,23.3,Vacant,log to diary
11:50,23.32,Vacant,log to diary
12:00,23.33,Vacant,log to diary
12:10,23.29,Vacant,log to diary
12:20,23.25,Baseline pre-lunch (midday warmth),"Activating the cooling system, log to diary"
12:30,23.22,Lunch,"Activating the cooling system, log to diary"
12:40,23.18,Lunch,"Activating the cooling system, log to diary"
12:50,23.14,Lunch,"Activating the cooling system, log to diary"
13:00,23.1,Leaving for nap,"Opening doors, log to diary"
13:10,23.18,Vacant,"Opening windows, log to diary"
13:20,23.26,Vacant,log to diary
13:30,23.34,Vacant,log to diary
13:40,23.41,Vacant,log to diary
13:50,23.49,Vacant,log to diary
14:00,23.57,Vacant,log to diary
14:10,23.6,Vacant,log to diary
14:20,23.63,Vacant,log to diary
14:30,23.67,Vacant,log to diary
14:40,23.7,Vacant,log to diary
14:50,23.73,Vacant,log to diary
15:00,23.76,Vacant,log to diary
15:10,23.7,Vacant,log to diary
15:20,23.63,Vacant,log to diary
15:30,23.57,Vacant,log to diary
15:40,23.51,Vacant,log to diary
15:50,23.44,Vacant,log to diary
16:00,23.38,Vacant,log to diary
16:10,23.33,Vacant,log to diary
16:20,23.29,Vacant,log to diary
16:30,23.24,Vacant,log to diary
16:40,23.19,Vacant,log to diary
16:50,23.15,Vacant,log to diary
17:00,23.1,Vacant,log to diary
17:10,23.08,Vacant,log to diary
17:20,23.05,Vacant,log to diary
17:30,23.03,Vacant,log to diary
17:40,23,Vacant,log to diary
17:50,22.98,Vacant,log to diary
18:00,22.95,Vacant,log to diary
18:10,23.06,Vacant,log to diary
18:20,23.17,Baseline pre-dinner (early evening),"Opening windows, log to diary"
18:30,23.28,Family call (expected)/ Dinner Time,"Activating the cooling system, log to diary"
18:40,23.38,Family arrival,"Activating the cooling system, log to diary"
18:50,23.49,Dinner Time,"Activating the cooling system, log to diary"
19:00,23.6,Dinner Time,"Activating the cooling system, log to diary"
19:10,23.65,Dinner winding down,"keep windows open, log to diary"
19:20,23.7,Dinner winding down,"keep windows open, log to diary"
19:30,23.75,Dinner winding down,"keep windows open, log to diary"
19:40,23.8,Family leaves,"keep doors open, log to diary"
19:50,23.85,Clearing up,"keep windows open, log to diary"
20:00,23.9,Clearing up,"keep windows open, log to diary"
20:10,23.81,Leaving for lounge,"keep doors open, log to diary"
20:20,23.71,Vacant,"Controlling the heating system (off), log to diary"
20:30,23.62,Vacant,log to diary
20:40,23.52,Vacant,log to diary
20:50,23.43,Vacant,log to diary
21:00,23.33,Vacant,log to diary
21:10,23.29,Vacant,log to diary
21:20,23.25,Vacant,log to diary
21:30,23.22,Vacant,log to diary
21:40,23.18,Vacant,log to diary
21:50,23.14,Vacant,log to diary
22:00,23.1,Vacant,log to diary
22:10,23.08,Vacant,log to diary
22:20,23.05,Vacant,log to diary
22:30,23.03,Vacant,log to diary
22:40,23,Vacant,log to diary
22:50,22.98,Vacant,log to diary
23:00,22.95,Vacant,log to diary
