,MLX-P,,,,
,1m,2m,3m,4m,5m
16,29.78,26.53,24.34,23.1,21.94
18,30.2,26.325,24.775,23.05,21.575
20,30.73333333,28.33333333,26.5,25.03333333,22.5
22,30.46,28.23333333,27.36666667,26.3,24.43333333
24,32.1,30.82,28.96,27.64,26.66
25,31.775,29.9,29.1,28.325,27.65
,,,,,
,MLX-R,,,,
,1m,2m,3m,4m,5m
16,30.2,26.53,24.6,23.1,22.36
18,30.925,26.825,25.225,23.55,21.85
20,31.5,29.1,27.2,25.83333333,21.85
22,31.46666667,28.93333333,27.86666667,27.13333333,25.2
24,32.78,31.42,29.88,28.4,27.08
25,32.875,30.825,29.875,28.975,28.125
,,,,,
,RS-T10,,,,
,1m,2m,3m,4m,5m
16,30.22,27.84,25.18,23.36,22.1
18,29.7,27.25,25.85,23.325,21.3
20,30.26666667,28.73333333,27.1,25.03333333,22.43333333
22,29.96666667,28.8,27.76666667,26.86666667,24.73333333
24,31.62,30.58461538,28.87692308,27.43846154,26.35384615
25,30.525,29.625,28.5,27.3,26.275
