,MLX-P,,,,
,1,2,3,4,5
16,0.605805249,2.235956171,1.228006515,0.821583836,0.403732585
18,0.828653526,0.97425185,0.97425185,1.389244399,1.228481447
20,0.680685929,0.577350269,0.7,0.680685929,0.5
22,0.640936814,1.12398102,1.059874206,1.081665383,1.069267662
24,0.561248608,0.779102047,1.026157883,0.864869932,0.912688337
25,0.25,0.496655481,0.848528137,0.607590871,0.5
,,,,,
,MLX-R,,,,
,1,2,3,4,5
16,0.796868873,1.294217911,0.777817459,0.547722558,0.497995984
18,0.377491722,0.888350531,1.00124922,1.382027496,1.68424068
20,0.2,0.964365076,0.435889894,0.65064071,0.288675135
22,0.351188458,1.205542755,0.901849951,0.901849951,0.964365076
24,0.396232255,1.044988038,0.875785362,0.463680925,0.875785362
25,0.330403793,0.386221008,0.590903263,0.442530602,0.585234996
,,,,,
,RS-T10,,,,
,1,2,3,4,5
16,1.091787525,1.550161282,1.063954886,0.971081871,0.961769203
18,0.668331255,1.201388086,1.33041347,0.942956344,0.725718035
20,0.680685929,0.305505046,0.360555128,0.763762616,0.057735027
22,0.288675135,0.529150262,0.814452782,0.901849951,0.680685929
24,0.37013511,0.363318042,0.904433524,0.291547595,0.3082207
25,1.135414755,0.556027577,1.290994449,2.115025611,1.181453907
