sensorID,date time,battery,co2,humidity,temperature
lw-ms-ambi-01,2025-01-21T00:04:40.392830Z,73,302,54.5,17.2
lw-ms-ambi-02,2025-01-21T00:06:47.831430Z,74,802,54.5,18.5
lw-ms-ambi-03,2025-01-21T00:08:39.976507Z,77,371,55.5,16
lw-ms-ambi-01,2025-01-21T00:14:42.586880Z,73,299,54.5,17.3
lw-ms-ambi-02,2025-01-21T00:16:43.323342Z,74,802,54,18.5
lw-ms-ambi-03,2025-01-21T00:18:42.964366Z,77,366,55.5,16
lw-ms-ambi-01,2025-01-21T00:24:39.881624Z,73,296,54.5,17.3
lw-ms-ambi-02,2025-01-21T00:26:43.736506Z,74,777,54,18.5
lw-ms-ambi-03,2025-01-21T00:28:40.279971Z,77,368,55.5,16
lw-ms-ambi-01,2025-01-21T00:34:41.834585Z,73,310,54.5,17.3
lw-ms-ambi-02,2025-01-21T00:36:45.372944Z,74,762,54,18.5
lw-ms-ambi-03,2025-01-21T00:38:42.051132Z,77,359,55.5,16
lw-ms-ambi-01,2025-01-21T00:44:39.673909Z,73,295,54,17.3
lw-ms-ambi-03,2025-01-21T00:48:42.933662Z,77,357,55.5,16
lw-ms-ambi-01,2025-01-21T00:54:40.845868Z,73,302,54.5,17.4
lw-ms-ambi-02,2025-01-21T00:56:43.303895Z,74,746,54,18.5
lw-ms-ambi-03,2025-01-21T00:58:43.457859Z,77,369,56,16
lw-ms-ambi-01,2025-01-21T01:04:41.122334Z,73,304,54.5,17.4
lw-ms-ambi-02,2025-01-21T01:06:43.669171Z,74,747,54,18.5
lw-ms-ambi-03,2025-01-21T01:08:43.630059Z,77,368,56,16
lw-ms-ambi-01,2025-01-21T01:14:40.604872Z,73,307,54.5,17.4
lw-ms-ambi-03,2025-01-21T01:18:39.520218Z,77,360,56,16
lw-ms-ambi-01,2025-01-21T01:24:38.595336Z,73,297,54.5,17.4
lw-ms-ambi-02,2025-01-21T01:26:44.970783Z,74,723,54,18.5
lw-ms-ambi-03,2025-01-21T01:28:40.924546Z,77,371,56,16
lw-ms-ambi-02,2025-01-21T01:36:45.842630Z,74,720,54,18.5
lw-ms-ambi-03,2025-01-21T01:38:42.509578Z,77,354,56,16
lw-ms-ambi-01,2025-01-21T01:44:38.384888Z,73,297,54.5,17.4
lw-ms-ambi-02,2025-01-21T01:46:43.426686Z,74,718,54,18.5
lw-ms-ambi-03,2025-01-21T01:48:42.388470Z,77,359,56,16
lw-ms-ambi-01,2025-01-21T01:54:41.968621Z,73,293,54.5,17.4
lw-ms-ambi-02,2025-01-21T01:56:43.581119Z,74,705,54,18.5
lw-ms-ambi-03,2025-01-21T01:58:40.061410Z,77,356,56,15.9
lw-ms-ambi-01,2025-01-21T02:04:40.641161Z,73,302,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:06:47.271263Z,74,695,54,18.5
lw-ms-ambi-03,2025-01-21T02:08:39.603608Z,77,366,56.5,15.9
lw-ms-ambi-01,2025-01-21T02:14:38.982610Z,73,302,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:16:44.929500Z,74,692,54,18.4
lw-ms-ambi-03,2025-01-21T02:18:39.175851Z,77,358,56,15.9
lw-ms-ambi-01,2025-01-21T02:24:41.441225Z,73,298,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:26:46.276244Z,74,676,54,18.4
lw-ms-ambi-03,2025-01-21T02:28:43.741704Z,77,362,56,15.9
lw-ms-ambi-01,2025-01-21T02:34:41.461859Z,73,301,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:36:47.254526Z,74,682,54,18.4
lw-ms-ambi-03,2025-01-21T02:38:39.962448Z,77,351,56,15.9
lw-ms-ambi-01,2025-01-21T02:44:41.809239Z,73,298,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:46:43.735014Z,74,659,54,18.4
lw-ms-ambi-03,2025-01-21T02:48:41.659367Z,77,366,56.5,15.9
lw-ms-ambi-01,2025-01-21T02:54:39.268454Z,73,300,54.5,17.4
lw-ms-ambi-02,2025-01-21T02:56:43.722618Z,74,646,54,18.4
lw-ms-ambi-03,2025-01-21T02:58:42.186924Z,77,369,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:04:40.195832Z,73,301,54.5,17.4
lw-ms-ambi-02,2025-01-21T03:06:47.114250Z,74,653,54,18.4
lw-ms-ambi-03,2025-01-21T03:08:41.820769Z,77,355,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:14:41.586796Z,73,295,54.5,17.4
lw-ms-ambi-02,2025-01-21T03:16:43.511440Z,74,652,54,18.4
lw-ms-ambi-03,2025-01-21T03:18:41.444012Z,77,364,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:24:38.691836Z,73,293,55,17.4
lw-ms-ambi-02,2025-01-21T03:26:43.793237Z,74,646,54,18.4
lw-ms-ambi-03,2025-01-21T03:28:41.992865Z,77,362,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:34:40.836611Z,73,297,54.5,17.4
lw-ms-ambi-03,2025-01-21T03:38:40.923210Z,77,353,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:44:39.701417Z,73,295,55,17.4
lw-ms-ambi-02,2025-01-21T03:46:47.001869Z,74,627,54,18.3
lw-ms-ambi-03,2025-01-21T03:48:40.288091Z,77,360,56.5,15.9
lw-ms-ambi-01,2025-01-21T03:54:41.908005Z,73,299,54.5,17.4
lw-ms-ambi-02,2025-01-21T03:56:45.638602Z,74,624,54,18.3
lw-ms-ambi-03,2025-01-21T03:58:43.476730Z,77,366,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:04:41.819938Z,73,305,55,17.4
lw-ms-ambi-02,2025-01-21T04:06:44.064876Z,74,621,54,18.3
lw-ms-ambi-03,2025-01-21T04:08:39.158279Z,77,344,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:14:38.762256Z,73,285,54.5,17.4
lw-ms-ambi-02,2025-01-21T04:16:47.269785Z,74,616,54,18.3
lw-ms-ambi-03,2025-01-21T04:18:39.919258Z,77,368,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:24:40.090066Z,73,297,55,17.4
lw-ms-ambi-02,2025-01-21T04:26:43.744569Z,74,604,54,18.3
lw-ms-ambi-03,2025-01-21T04:28:40.447046Z,77,359,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:34:39.399865Z,73,285,55,17.4
lw-ms-ambi-02,2025-01-21T04:36:46.804225Z,74,588,54,18.3
lw-ms-ambi-03,2025-01-21T04:38:43.117269Z,77,368,56,15.9
lw-ms-ambi-01,2025-01-21T04:44:40.188486Z,73,294,54.5,17.4
lw-ms-ambi-03,2025-01-21T04:48:40.606665Z,77,352,56.5,15.9
lw-ms-ambi-01,2025-01-21T04:54:40.597146Z,73,297,54.5,17.4
lw-ms-ambi-02,2025-01-21T04:56:46.484884Z,74,576,54,18.2
lw-ms-ambi-03,2025-01-21T04:58:41.407189Z,77,360,56.5,15.8
