time,co2_ppm,rate_of_change,activity
7:00,500,,"Vacant, log to diary"
7:10,500,0,"Vacant, log to diary"
7:20,500,0,"Baseline entry, log to diary"
7:30,550,5,"Breakfast, log to diary"
7:40,590,4,"Breakfast, log to diary"
7:50,620,3,"Breakfast, log to diary"
8:00,590,-3,"Leaving for lounge, log to diary"
8:10,560,-3,"Vacant, log to diary"
8:20,558,-0.2,"Vacant, log to diary"
8:30,557,-0.1,"Vacant, log to diary"
8:40,555,-0.2,"Vacant, log to diary"
8:50,554,-0.1,"Vacant, log to diary"
9:00,552,-0.2,"Vacant, log to diary"
9:10,550,-0.2,"Vacant, log to diary"
9:20,549,-0.1,"Vacant, log to diary"
9:30,547,-0.2,"Vacant, log to diary"
9:40,546,-0.1,"Vacant, log to diary"
9:50,544,-0.2,"Vacant, log to diary"
10:00,542,-0.2,"Vacant, log to diary"
10:10,541,-0.1,"Vacant, log to diary"
10:20,539,-0.2,"Vacant, log to diary"
10:30,538,-0.1,"Vacant, log to diary"
10:40,536,-0.2,"Vacant, log to diary"
10:50,534,-0.2,"Vacant, log to diary"
11:00,533,-0.1,"Vacant, log to diary"
11:10,531,-0.2,"Vacant, log to diary"
11:20,530,-0.1,"Vacant, log to diary"
11:30,528,-0.2,"Vacant, log to diary"
11:40,526,-0.2,"Vacant, log to diary"
11:50,525,-0.1,"Vacant, log to diary"
12:00,523,-0.2,"Vacant, log to diary"
12:10,522,-0.1,"Vacant, log to diary"
12:20,520,-0.2,"Baseline pre-lunch, log to diary"
12:30,570,5,"Lunch, log to diary"
12:40,610,4,"Lunch, log to diary"
12:50,640,3,"Lunch, log to diary"
13:00,600,-4,"Leaving for nap, log to diary"
13:10,560,-4,"Vacant, log to diary"
13:20,559,-0.1,"Vacant, log to diary"
13:30,557,-0.2,"Vacant, log to diary"
13:40,556,-0.1,"Vacant, log to diary"
13:50,555,-0.1,"Vacant, log to diary"
14:00,554,-0.1,"Vacant, log to diary"
14:10,552,-0.2,"Vacant, log to diary"
14:20,551,-0.1,"Vacant, log to diary"
14:30,550,-0.1,"Vacant, log to diary"
14:40,548,-0.2,"Vacant, log to diary"
14:50,547,-0.1,"Vacant, log to diary"
15:00,546,-0.1,"Vacant, log to diary"
15:10,545,-0.1,"Vacant, log to diary"
15:20,543,-0.2,"Vacant, log to diary"
15:30,542,-0.1,"Vacant, log to diary"
15:40,541,-0.1,"Vacant, log to diary"
15:50,539,-0.2,"Vacant, log to diary"
16:00,538,-0.1,"Vacant, log to diary"
16:10,537,-0.1,"Vacant, log to diary"
16:20,535,-0.2,"Vacant, log to diary"
16:30,534,-0.1,"Vacant, log to diary"
16:40,533,-0.1,"Vacant, log to diary"
16:50,532,-0.1,"Vacant, log to diary"
17:00,530,-0.2,"Vacant, log to diary"
17:10,529,-0.1,"Vacant, log to diary"
17:20,528,-0.1,"Vacant, log to diary"
17:30,526,-0.1,"Vacant, log to diary"
17:40,525,-0.2,"Vacant, log to diary"
17:50,524,-0.1,"Vacant, log to diary"
18:00,523,5,"Vacant, log to diary"
18:10,521,10,"Vacant, log to diary"
18:20,520,7,"Baseline pre-dinner, log to diary"
18:30,570,6,"Family call (expected)/ Dinner Time, log to diary"
18:40,670,4,"Family arrival for dinner, log to diary"
18:50,740,3,"Dinner Time, log to diary"
19:00,800,2,"Dinner Time, log to diary"
19:10,840,1,"Dinner Time, log to diary"
19:20,870,1,"Dinner Time, log to diary"
19:30,890,-0.5,"Dinner Time, log to diary"
19:40,900,-4,"Dinner Time, log to diary"
19:50,910,-4,"Dinner Time, log to diary"
20:00,905,-2,"Dinner winding down, log to diary"
20:10,865,-1.9,"Family leaves, log to diary"
20:20,825,-1.9,"Leaving for lounge, log to diary"
20:30,805,-1.9,"Vacant, log to diary"
20:40,786,-1.9,"Vacant, log to diary"
20:50,767,-1.9,"Vacant, log to diary"
21:00,748,-1.9,"Vacant, log to diary"
21:10,729,-1.9,"Vacant, log to diary"
21:20,710,-1.9,"Vacant, log to diary"
21:30,691,-1.9,"Vacant, log to diary"
21:40,672,-1.9,"Vacant, log to diary"
21:50,653,-1.9,"Vacant, log to diary"
22:00,634,-1.9,"Vacant, log to diary"
22:10,615,-1.9,"Vacant, log to diary"
22:20,596,-1.9,"Vacant, log to diary"
22:30,577,-1.9,"Vacant, log to diary"
22:40,558,-1.9,"Vacant, log to diary"
22:50,539,-1.9,"Vacant, log to diary"
23:00,520,-1.9,"Vacant, log to diary"
