time,co2_ppm,rate_of_change,activity
7:00,500,,"Vacant, log to diary"
7:10,500,0,"Vacant, log to diary"
7:20,500,0,"Vacant, log to diary"
7:30,500,0,"Vacant, log to diary"
7:40,500,0,"Vacant, log to diary"
7:50,500,0,"Vacant, log to diary"
8:00,500,0,"Vacant, log to diary"
8:10,500,0,"Vacant, log to diary"
8:20,500,0,"Vacant, log to diary"
8:30,500,0,"Vacant, log to diary"
8:40,500,0,"Vacant, log to diary"
8:50,500,0,"Vacant, log to diary"
9:00,500,0,"Vacant, log to diary"
9:10,500,0,"Vacant, log to diary"
9:20,500,0,"Vacant, log to diary"
9:30,500,0,"Vacant, log to diary"
9:40,500,0,"Vacant, log to diary"
9:50,500,0,"Vacant, log to diary"
10:00,500,0,"Vacant, log to diary"
10:10,500,0,"Vacant, log to diary"
10:20,500,0,"Vacant, log to diary"
10:30,500,0,"Vacant, log to diary"
10:40,500,0,"Vacant, log to diary"
10:50,500,0,"Vacant, log to diary"
11:00,500,0,"Vacant, log to diary"
11:10,500,0,"Vacant, log to diary"
11:20,500,0,"Vacant, log to diary"
11:30,500,0,"Vacant, log to diary"
11:40,500,0,"Vacant, log to diary"
11:50,500,0,"Vacant, log to diary"
12:00,500,0,"Vacant, log to diary"
12:10,500,0,"Vacant, log to diary"
12:20,500,0,"Vacant, log to diary"
12:30,500,0,"Vacant, log to diary"
12:40,500,0,"Vacant, log to diary"
12:50,500,0,"Vacant, log to diary"
13:00,500,0,"Vacant, log to diary"
13:10,500,0,"Vacant, log to diary"
13:20,500,0,"Vacant, log to diary"
13:30,500,0,"Vacant, log to diary"
13:40,500,0,"Vacant, log to diary"
13:50,500,0,"Vacant, log to diary"
14:00,500,0,"Vacant, log to diary"
14:10,500,0,"Vacant, log to diary"
14:20,500,0,"Vacant, log to diary"
14:30,500,0,"Vacant, log to diary"
14:40,500,0,"Vacant, log to diary"
14:50,500,0,"Vacant, log to diary"
15:00,500,0,"Vacant, log to diary"
15:10,500,0,"Vacant, log to diary"
15:20,500,0,"Vacant, log to diary"
15:30,500,0,"Vacant, log to diary"
15:40,500,0,"Vacant, log to diary"
15:50,500,0,"Vacant, log to diary"
16:00,500,0,"Vacant, log to diary"
16:10,500,0,"Vacant, log to diary"
16:20,500,0,"Vacant, log to diary"
16:30,500,0,"Vacant, log to diary"
16:40,500,0,"Vacant, log to diary"
16:50,500,0,"Vacant, log to diary"
17:00,500,0,"Vacant, log to diary"
17:10,500,0,"Vacant, log to diary"
17:20,500,5,Baseline pre-cooking
17:30,550,4.5,"Cooking activities, log to diary"
17:40,595,4,"Cooking activities, log to diary"
17:50,635,3,"Cooking activities, log to diary"
18:00,665,2.5,"Cooking activities, log to diary"
18:10,690,-3,"Cooking activities, log to diary"
18:20,660,-3,"Leaving for dinner,log to diary"
18:30,630,-0.4,"Vacant, log to diary"
18:40,626,-0.5,"Vacant, log to diary"
18:50,621,-0.5,"Vacant, log to diary"
19:00,616,-0.5,"Vacant, log to diary"
19:10,611,-0.5,"Vacant, log to diary"
19:20,606,-0.4,"Vacant, log to diary"
19:30,602,-0.5,"Vacant, log to diary"
19:40,597,-0.5,"Vacant, log to diary"
19:50,592,-0.5,"Vacant, log to diary"
20:00,587,-0.5,"Vacant, log to diary"
20:10,582,-0.4,"Vacant, log to diary"
20:20,578,-0.5,"Vacant, log to diary"
20:30,573,-0.5,"Vacant, log to diary"
20:40,568,-0.5,"Vacant, log to diary"
20:50,563,-0.5,"Vacant, log to diary"
21:00,558,-0.4,"Vacant, log to diary"
21:10,554,-0.5,"Vacant, log to diary"
21:20,549,-0.5,"Vacant, log to diary"
21:30,544,-0.5,"Vacant, log to diary"
21:40,539,-0.5,"Vacant, log to diary"
21:50,534,-0.4,"Vacant, log to diary"
22:00,530,-0.5,"Vacant, log to diary"
22:10,525,-0.5,"Vacant, log to diary"
22:20,520,-0.5,"Vacant, log to diary"
22:30,515,-0.5,"Vacant, log to diary"
22:40,510,-0.5,"Vacant, log to diary"
22:50,505,-0.5,"Vacant, log to diary"
23:00,500,-0.5,"Vacant, log to diary"
