sensorID,co2,rate_of_change
lw-ms-ambi-02,802.0,
lw-ms-ambi-02,802.0,0.0
lw-ms-ambi-02,777.0,-25.0
lw-ms-ambi-02,762.0,-15.0
lw-ms-ambi-02,746.0,-16.0
lw-ms-ambi-02,747.0,1.0
lw-ms-ambi-02,723.0,-24.0
lw-ms-ambi-02,720.0,-3.0
lw-ms-ambi-02,718.0,-2.0
lw-ms-ambi-02,705.0,-13.0
lw-ms-ambi-02,695.0,-10.0
lw-ms-ambi-02,692.0,-3.0
lw-ms-ambi-02,676.0,-16.0
lw-ms-ambi-02,682.0,6.0
lw-ms-ambi-02,659.0,-23.0
lw-ms-ambi-02,646.0,-13.0
lw-ms-ambi-02,653.0,7.0
lw-ms-ambi-02,652.0,-1.0
lw-ms-ambi-02,646.0,-6.0
lw-ms-ambi-02,627.0,-19.0
lw-ms-ambi-02,624.0,-3.0
lw-ms-ambi-02,621.0,-3.0
lw-ms-ambi-02,616.0,-5.0
lw-ms-ambi-02,604.0,-12.0
lw-ms-ambi-02,588.0,-16.0
lw-ms-ambi-02,576.0,-12.0
lw-ms-ambi-02,595.0,19.0
lw-ms-ambi-02,578.0,-17.0
lw-ms-ambi-02,571.0,-7.0
lw-ms-ambi-02,553.0,-18.0
lw-ms-ambi-02,551.0,-2.0
lw-ms-ambi-02,553.0,2.0
lw-ms-ambi-02,562.0,9.0
lw-ms-ambi-02,540.0,-22.0
lw-ms-ambi-02,543.0,3.0
lw-ms-ambi-02,539.0,-4.0
lw-ms-ambi-02,525.0,-14.0
lw-ms-ambi-02,523.0,-2.0
lw-ms-ambi-02,523.0,0.0
lw-ms-ambi-02,526.0,3.0
lw-ms-ambi-02,519.0,-7.0
lw-ms-ambi-02,506.0,-13.0
lw-ms-ambi-02,498.0,-8.0
lw-ms-ambi-02,500.0,2.0
lw-ms-ambi-02,496.0,-4.0
lw-ms-ambi-02,496.0,0.0
lw-ms-ambi-02,495.0,-1.0
lw-ms-ambi-02,491.0,-4.0
lw-ms-ambi-02,475.0,-16.0
lw-ms-ambi-02,489.0,14.0
lw-ms-ambi-02,485.0,-4.0
lw-ms-ambi-02,473.0,-12.0
lw-ms-ambi-02,467.0,-6.0
lw-ms-ambi-02,463.0,-4.0
lw-ms-ambi-02,458.0,-5.0
lw-ms-ambi-02,460.0,2.0
lw-ms-ambi-02,464.0,4.0
lw-ms-ambi-02,456.0,-8.0
lw-ms-ambi-02,450.0,-6.0
lw-ms-ambi-02,443.0,-7.0
lw-ms-ambi-02,469.0,26.0
lw-ms-ambi-02,491.0,22.0
lw-ms-ambi-02,516.0,25.0
lw-ms-ambi-02,500.0,-16.0
